"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC21.F_CV","04/01/2021","82.00747"
"C-4450.8601A","ECI1.A-TC21.F_CV","05/01/2021","84.24638"
"C-4450.8601A","ECI1.A-TC21.F_CV","06/01/2021","84.26843"
"C-4450.8601A","ECI1.A-TC21.F_CV","08/01/2021","37.84982"
"C-4450.8601A","ECI1.A-TC21.F_CV","31/01/2021","76.31767"
"C-4450.8601A","ECI1.A-TC21.F_CV","01/02/2021","76.38627"
"C-4450.8601A","ECI1.A-TC21.F_CV","02/02/2021","76.71883"
"C-4450.8601A","ECI1.A-TC21.F_CV","03/02/2021","78.67676"
"C-4450.8601A","ECI1.A-TC21.F_CV","04/02/2021","84.33499"
"C-4450.8601A","ECI1.A-TC21.F_CV","05/02/2021","83.66313"
"C-4450.8601A","ECI1.A-TC21.F_CV","06/02/2021","82.01971"
"C-4450.8601A","ECI1.A-TC21.F_CV","07/02/2021","77.31969"
"C-4450.8601A","ECI1.A-TC21.F_CV","08/02/2021","79.83783"
"C-4450.8601A","ECI1.A-TC21.F_CV","09/02/2021","76.55826"
"C-4450.8601A","ECI1.A-TC21.F_CV","10/02/2021","79.35826"
"C-4450.8601A","ECI1.A-TC21.F_CV","11/02/2021","81.79687"
"C-4450.8601A","ECI1.A-TC21.F_CV","12/02/2021","84.24138"
"C-4450.8601A","ECI1.A-TC21.F_CV","13/02/2021","81.22635"
"C-4450.8601A","ECI1.A-TC21.F_CV","14/02/2021","80.27774"
"C-4450.8601A","ECI1.A-TC21.F_CV","15/02/2021","79.77743"
"C-4450.8601A","ECI1.A-TC21.F_CV","16/02/2021","77.13503"
"C-4450.8601A","ECI1.A-TC21.F_CV","17/02/2021","78.43991"
"C-4450.8601A","ECI1.A-TC21.F_CV","18/02/2021","80.60909"
"C-4450.8601A","ECI1.A-TC21.F_CV","19/02/2021","81.52837"
"C-4450.8601A","ECI1.A-TC21.F_CV","20/02/2021","84.964"
"C-4450.8601A","ECI1.A-TC21.F_CV","21/02/2021","85.02827"
"C-4450.8601A","ECI1.A-TC21.F_CV","22/02/2021","79.07843"
"C-4450.8601A","ECI1.A-TC21.F_CV","23/02/2021","80.74152"
"C-4450.8601A","ECI1.A-TC21.F_CV","26/02/2021","77.33838"
"C-4450.8601A","ECI1.A-TC21.F_CV","27/02/2021","78.34803"
