"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/01/2021","659.03825"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/01/2021","659.76301"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","06/01/2021","649.72128"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/01/2021","657.68837"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/01/2021","660.11167"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/01/2021","660.8411"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/01/2021","663.60157"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/01/2021","662.43724"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/01/2021","643.97556"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/01/2021","652.21612"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/01/2021","656.30319"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/01/2021","641.67944"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/01/2021","652.27884"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/01/2021","656.66207"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","18/01/2021","654.63983"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","19/01/2021","654.64226"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/01/2021","646.69244"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/01/2021","649.12716"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/01/2021","649.6015"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","23/01/2021","636.40625"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","24/01/2021","645.62782"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","25/01/2021","642.88014"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","27/01/2021","634.7387"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","28/01/2021","612.74617"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","29/01/2021","642.96379"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","30/01/2021","640.03087"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","31/01/2021","642.98701"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","01/02/2021","639.60327"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","02/02/2021","642.70435"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","03/02/2021","654.66663"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/02/2021","653.09391"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/02/2021","651.83968"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","06/02/2021","653.54709"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/02/2021","657.69692"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/02/2021","655.91297"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/02/2021","654.30667"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/02/2021","660.34097"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/02/2021","662.70383"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/02/2021","657.28224"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/02/2021","658.10797"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/02/2021","655.70035"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/02/2021","652.21946"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/02/2021","650.25519"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/02/2021","660.1785"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","18/02/2021","656.42156"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","19/02/2021","654.06631"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/02/2021","652.40193"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/02/2021","654.67934"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/02/2021","653.3159"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","23/02/2021","652.61692"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","26/02/2021","663.23898"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","27/02/2021","642.42852"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","28/02/2021","649.64693"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","01/03/2021","653.07653"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","02/03/2021","648.34502"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","03/03/2021","641.38559"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/03/2021","650.71448"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/03/2021","646.51982"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","06/03/2021","645.87993"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/03/2021","610.70558"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/03/2021","472.38202"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/03/2021","503.20232"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/03/2021","634.88909"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/03/2021","642.89185"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/03/2021","647.22298"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/03/2021","631.53314"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/03/2021","641.0685"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/03/2021","635.7955"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/03/2021","642.71083"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/03/2021","644.98243"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/03/2021","643.98819"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/03/2021","645.96224"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/03/2021","637.51287"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","23/03/2021","644.77014"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","24/03/2021","649.48524"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","25/03/2021","649.58884"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","27/03/2021","643.90807"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","28/03/2021","641.44752"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","29/03/2021","642.83985"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","30/03/2021","643.16755"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","31/03/2021","643.54019"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","01/04/2021","565.12989"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","02/04/2021","636.81804"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","03/04/2021","639.68065"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/04/2021","635.94996"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/04/2021","639.56083"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","06/04/2021","634.02907"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/04/2021","656.76871"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/04/2021","615.98255"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/04/2021","619.75481"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/04/2021","613.90127"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/04/2021","618.00181"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/04/2021","631.42221"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/04/2021","628.57747"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/04/2021","632.69327"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/04/2021","607.56632"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/04/2021","631.6412"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/04/2021","627.47248"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","18/04/2021","639.59317"
