"DATA","TEMPERATURA"
"01/12/2020",55.22634
"02/12/2020",52.24972
"03/12/2020",57.80035
"04/12/2020",59.67115
"05/12/2020",53.56038
"06/12/2020",52.04297
"07/12/2020",50.76102
"08/12/2020",54.37429
"09/12/2020",52.49557
"10/12/2020",53.26128
"11/12/2020",55.27862
"12/12/2020",56.36506
"13/12/2020",58.6943
"14/12/2020",57.59098
"15/12/2020",54.92706
"16/12/2020",53.99208
"17/12/2020",55.78783
"18/12/2020",56.44755
"19/12/2020",57.08725
"20/12/2020",50.40193
"21/12/2020",53.36456
"22/12/2020",52.83062
"23/12/2020",50.89782
"24/12/2020",41.28514
"25/12/2020",51.92779
"26/12/2020",34.47187
"27/12/2020",38.74019
"28/12/2020",54.64336
"29/12/2020",53.7059
"30/12/2020",56.25301
"31/12/2020",61.23701
"04/01/2021",54.39304
"05/01/2021",58.09985
"06/01/2021",57.8058
"09/01/2021",54.56856
"10/01/2021",54.73589
"11/01/2021",56.35515
"12/01/2021",58.20696
"14/01/2021",49.56264
"15/01/2021",56.97547
"18/01/2021",59.56106
"19/01/2021",56.44281
"20/01/2021",54.48946
"21/01/2021",55.28486
"22/01/2021",56.26629
"23/01/2021",48.5914
"24/01/2021",56.85928
"27/01/2021",50.06957
"28/01/2021",44.83038
"29/01/2021",52.46931
"30/01/2021",56.84595
"31/01/2021",59.10198
"01/02/2021",55.48913
"02/02/2021",60.17845
"03/02/2021",56.54991
"04/02/2021",59.52532
"26/02/2021",51.34024
"27/02/2021",52.67435
"28/02/2021",53.64114
"01/03/2021",51.55805
"02/03/2021",52.3991
"03/03/2021",48.40433
"04/03/2021",53.40395
"05/03/2021",55.37243
"06/03/2021",56.03848
"07/03/2021",53.62658
"08/03/2021",53.1821
"09/03/2021",45.41874
"10/03/2021",50.24061
"11/03/2021",54.53578
"12/03/2021",55.00091
"13/03/2021",55.67256
"14/03/2021",56.17231
"15/03/2021",54.00505
"16/03/2021",55.62802
"17/03/2021",55.11043
"20/03/2021",56.49231
"21/03/2021",56.85185
"22/03/2021",56.24581
"23/03/2021",55.90811
"24/03/2021",57.31396
"25/03/2021",50.21537
"27/03/2021",54.60094
"28/03/2021",55.74887
"30/03/2021",50.84862
"31/03/2021",52.46572
"01/04/2021",50.06329
"02/04/2021",55.15471
"03/04/2021",56.44963
"06/04/2021",46.2998
"08/04/2021",49.14336
"18/05/2021",48.30523
"19/05/2021",45.05524
"20/05/2021",47.80259
"21/05/2021",48.20391
"22/05/2021",49.91452
"23/05/2021",52.89425
"24/05/2021",50.28876
"25/05/2021",43.54651
"26/05/2021",46.31088
"27/05/2021",49.50751
"28/05/2021",48.18934
