"DATA","TEMPERATURA"
"01/12/2020","55.22634"
"01/12/2020","59.59766"
"02/12/2020","55.1804"
"02/12/2020","52.24972"
"03/12/2020","57.80035"
"03/12/2020","58.80027"
"04/12/2020","59.67115"
"04/12/2020","61.90943"
"05/12/2020","58.12974"
"05/12/2020","53.56038"
"06/12/2020","56.18368"
"06/12/2020","52.04297"
"07/12/2020","55.77225"
"07/12/2020","50.76102"
"08/12/2020","54.37429"
"08/12/2020","59.14959"
"09/12/2020","55.05812"
"09/12/2020","52.49557"
"10/12/2020","56.43297"
"10/12/2020","53.26128"
"11/12/2020","55.27862"
"11/12/2020","61.33656"
"12/12/2020","56.36506"
"12/12/2020","60.25144"
"13/12/2020","58.6943"
"13/12/2020","61.20043"
"14/12/2020","59.74384"
"14/12/2020","57.59098"
"15/12/2020","57.83042"
"15/12/2020","54.92706"
"16/12/2020","53.99208"
"16/12/2020","58.22383"
"17/12/2020","58.91821"
"17/12/2020","55.78783"
"18/12/2020","56.44755"
"18/12/2020","58.57594"
"19/12/2020","57.08725"
"19/12/2020","59.45601"
"20/12/2020","53.98587"
"20/12/2020","50.40193"
"21/12/2020","53.36456"
"21/12/2020","55.87742"
"22/12/2020","57.38903"
"22/12/2020","52.83062"
"23/12/2020","56.99694"
"23/12/2020","50.89782"
"24/12/2020","41.28514"
"24/12/2020","41.14353"
"25/12/2020","58.18925"
"25/12/2020","51.92779"
"26/12/2020","34.47187"
"26/12/2020","33.89215"
"27/12/2020","38.76108"
"27/12/2020","38.74019"
"28/12/2020","54.64336"
"28/12/2020","54.19176"
"29/12/2020","53.7059"
"29/12/2020","57.31505"
"30/12/2020","58.09475"
"30/12/2020","56.25301"
"31/12/2020","61.23701"
"31/12/2020","62.81602"
"04/01/2021","54.39304"
"04/01/2021","58.0861"
"05/01/2021","60.10255"
"05/01/2021","58.09985"
"06/01/2021","57.8058"
"06/01/2021","61.31643"
"09/01/2021","54.56856"
"09/01/2021","57.36994"
"10/01/2021","56.26081"
"10/01/2021","54.73589"
"11/01/2021","56.35515"
"11/01/2021","57.29297"
"12/01/2021","59.56045"
"12/01/2021","58.20696"
"14/01/2021","49.56264"
"14/01/2021","53.3642"
"15/01/2021","56.97547"
"15/01/2021","60.47455"
"18/01/2021","59.56106"
"18/01/2021","58.94712"
"19/01/2021","56.44281"
"19/01/2021","59.25697"
"20/01/2021","54.48946"
"20/01/2021","56.13836"
"21/01/2021","55.28486"
"21/01/2021","58.41337"
"22/01/2021","62.28985"
"22/01/2021","56.26629"
"23/01/2021","48.5914"
"23/01/2021","50.68376"
"24/01/2021","56.85928"
"24/01/2021","59.5985"
"27/01/2021","50.06957"
"27/01/2021","54.56075"
"28/01/2021","45.89942"
"28/01/2021","44.83038"
"29/01/2021","61.85796"
"29/01/2021","52.46931"
"30/01/2021","56.84595"
"30/01/2021","61.27804"
"31/01/2021","64.76635"
"31/01/2021","59.10198"
"01/02/2021","62.11178"
"01/02/2021","55.48913"
"02/02/2021","60.17845"
"02/02/2021","64.04088"
"03/02/2021","63.44634"
"03/02/2021","56.54991"
"04/02/2021","62.15641"
"04/02/2021","59.52532"
"26/02/2021","51.34024"
"26/02/2021","56.00076"
"27/02/2021","52.67435"
"27/02/2021","58.3237"
"28/02/2021","53.64114"
"28/02/2021","58.85934"
"01/03/2021","51.55805"
"01/03/2021","55.7891"
"02/03/2021","57.8216"
"02/03/2021","52.3991"
"03/03/2021","48.40433"
"03/03/2021","53.77392"
"04/03/2021","53.40395"
"04/03/2021","58.26728"
"05/03/2021","60.89338"
"05/03/2021","55.37243"
"06/03/2021","62.01624"
"06/03/2021","56.03848"
"07/03/2021","59.72576"
"07/03/2021","53.62658"
"08/03/2021","53.1821"
"08/03/2021","59.99757"
"09/03/2021","50.55826"
"09/03/2021","45.41874"
"10/03/2021","56.80398"
"10/03/2021","50.24061"
"11/03/2021","59.99063"
"11/03/2021","54.53578"
"12/03/2021","55.00091"
"12/03/2021","61.38252"
"13/03/2021","55.67256"
"13/03/2021","62.49528"
"14/03/2021","62.84652"
"14/03/2021","56.17231"
"15/03/2021","54.00505"
"15/03/2021","61.10714"
"16/03/2021","62.56438"
"16/03/2021","55.62802"
"17/03/2021","61.24756"
"17/03/2021","55.11043"
"20/03/2021","61.43837"
"20/03/2021","56.49231"
"21/03/2021","56.85185"
"21/03/2021","62.3912"
"22/03/2021","62.81595"
"22/03/2021","56.24581"
"23/03/2021","60.24211"
"23/03/2021","55.90811"
"24/03/2021","57.31396"
"24/03/2021","62.9205"
"25/03/2021","54.34388"
"25/03/2021","50.21537"
"27/03/2021","54.60094"
"27/03/2021","60.55796"
"28/03/2021","58.84704"
"28/03/2021","55.74887"
"30/03/2021","50.84862"
"30/03/2021","54.41442"
"31/03/2021","57.68868"
"31/03/2021","52.46572"
"01/04/2021","58.80759"
"01/04/2021","50.06329"
"02/04/2021","60.3906"
"02/04/2021","55.15471"
"03/04/2021","57.46255"
"03/04/2021","56.44963"
"06/04/2021","49.61633"
"06/04/2021","46.2998"
"08/04/2021","52.52985"
"08/04/2021","49.14336"
"18/05/2021","51.18849"
"18/05/2021","48.30523"
"19/05/2021","45.05524"
"19/05/2021","53.94856"
"20/05/2021","51.62196"
"20/05/2021","47.80259"
"21/05/2021","55.90028"
"21/05/2021","48.20391"
"22/05/2021","59.39171"
"22/05/2021","49.91452"
"23/05/2021","59.68581"
"23/05/2021","52.89425"
"24/05/2021","59.03088"
"24/05/2021","50.28876"
"25/05/2021","43.54651"
"25/05/2021","54.37577"
"26/05/2021","46.31088"
"26/05/2021","52.91308"
"27/05/2021","49.50751"
"27/05/2021","54.03078"
"28/05/2021","48.18934"
"28/05/2021","57.31375"
"29/05/2021","57.426"
"29/05/2021","52.4306"
"01/12/2020","49.93226"
"01/12/2020","42.10191"
"02/12/2020","48.83036"
"02/12/2020","42.33512"
"03/12/2020","43.22708"
"03/12/2020","51.07389"
"04/12/2020","54.39397"
"04/12/2020","47.11658"
"05/12/2020","42.07762"
"05/12/2020","50.12021"
"06/12/2020","41.49638"
"06/12/2020","49.32942"
"07/12/2020","40.74345"
"07/12/2020","48.97552"
"08/12/2020","42.6711"
"08/12/2020","50.01276"
"09/12/2020","41.53433"
"09/12/2020","49.60896"
"10/12/2020","49.21808"
"10/12/2020","41.72724"
"11/12/2020","41.62708"
"11/12/2020","49.84336"
"12/12/2020","51.39689"
"12/12/2020","42.85145"
"13/12/2020","44.28834"
"13/12/2020","51.13462"
"14/12/2020","52.79028"
"14/12/2020","45.50203"
"15/12/2020","50.8385"
"15/12/2020","43.37357"
"16/12/2020","50.21291"
"16/12/2020","42.23578"
"17/12/2020","50.49578"
"17/12/2020","43.78416"
"18/12/2020","44.01395"
"18/12/2020","51.19786"
"19/12/2020","41.94078"
"19/12/2020","48.78674"
"20/12/2020","41.21558"
"20/12/2020","48.47474"
"21/12/2020","42.60117"
"21/12/2020","50.45216"
"22/12/2020","50.47093"
"22/12/2020","42.36867"
"23/12/2020","47.62615"
"23/12/2020","39.84365"
"24/12/2020","34.6566"
"24/12/2020","40.91797"
"25/12/2020","40.86769"
"25/12/2020","48.89018"
"26/12/2020","42.09229"
"26/12/2020","49.63338"
"27/12/2020","43.22005"
"27/12/2020","51.05569"
"28/12/2020","42.75532"
"28/12/2020","51.29444"
"29/12/2020","44.48033"
"29/12/2020","51.49687"
"30/12/2020","44.53666"
"30/12/2020","51.87189"
"31/12/2020","55.0441"
"31/12/2020","47.64018"
"04/01/2021","49.91204"
"04/01/2021","42.02915"
"05/01/2021","53.59026"
"05/01/2021","46.05405"
"06/01/2021","43.86726"
"06/01/2021","51.78139"
"09/01/2021","44.78779"
"09/01/2021","51.19295"
"10/01/2021","50.08086"
"10/01/2021","43.73003"
"11/01/2021","51.1245"
"11/01/2021","43.96138"
"12/01/2021","45.28535"
"12/01/2021","52.30861"
"14/01/2021","41.23968"
"14/01/2021","49.14077"
"15/01/2021","51.61751"
