EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.200000,Adam,800,32,36.226374,1312.350153,121.366549
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.200000,Adadelta,800,32,8.079970,65.285913,20.552265
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.250000,Adam,800,32,35.097339,1231.823212,117.602516
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.250000,Adadelta,800,32,12.744358,162.418671,35.017689
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.300000,Adam,800,32,36.256412,1314.527401,121.466434
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.300000,Adadelta,800,32,7.214622,52.050771,18.598017
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.350000,Adam,800,32,37.533173,1408.739078,125.728572
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,150,80,80,0.350000,Adadelta,800,32,7.339850,53.873391,18.494260
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.200000,Adam,800,32,37.846249,1432.338557,126.766573
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.200000,Adadelta,800,32,6.115982,37.405231,15.556255
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.250000,Adam,800,32,35.387803,1252.296609,118.568693
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.250000,Adadelta,800,32,6.925726,47.965676,17.738656
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.300000,Adam,800,32,35.964282,1293.429565,120.494973
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.300000,Adadelta,800,32,6.441455,41.492343,16.077298
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.350000,Adam,800,32,37.462898,1403.468740,125.493395
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,120,60,40,0.350000,Adadelta,800,32,8.260138,68.229879,20.889759
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,80,80,60,0.200000,Adam,800,32,37.590842,1413.071390,125.918999
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,80,80,60,0.200000,Adadelta,800,32,5.449187,29.693643,14.492899
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,1,80,80,60,0.250000,Adam,800,32,36.987686,1368.088933,123.908572
