EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.200000,Adam,800,32,2.001028,4.004113,2.353346
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.200000,Adadelta,800,32,2.818403,7.943398,3.344620
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.250000,Adam,800,32,2.358389,5.561998,2.739824
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.250000,Adadelta,800,32,2.759602,7.615403,3.266946
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.300000,Adam,800,32,2.358241,5.561298,2.746015
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.300000,Adadelta,800,32,2.725830,7.430151,3.204576
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.350000,Adam,800,32,2.306962,5.322075,2.681569
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,150,80,80,0.350000,Adadelta,800,32,2.773264,7.690992,3.274192
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.200000,Adam,800,32,2.180918,4.756402,2.531102
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.200000,Adadelta,800,32,2.834176,8.032554,3.366911
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.250000,Adam,800,32,2.370702,5.620227,2.764210
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.250000,Adadelta,800,32,2.895708,8.385123,3.457602
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.300000,Adam,800,32,2.374849,5.639907,2.766942
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.300000,Adadelta,800,32,2.889408,8.348680,3.451495
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.350000,Adam,800,32,2.474550,6.123399,2.896146
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,120,60,40,0.350000,Adadelta,800,32,2.871695,8.246630,3.428141
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.200000,Adam,800,32,2.431910,5.914187,2.837621
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.200000,Adadelta,800,32,2.876251,8.272818,3.425503
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.250000,Adam,800,32,2.459938,6.051293,2.876256
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.250000,Adadelta,800,32,3.005848,9.035124,3.626382
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.300000,Adam,800,32,2.317517,5.370884,2.702017
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.300000,Adadelta,800,32,3.059775,9.362221,3.708471
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.350000,Adam,800,32,2.431977,5.914514,2.844478
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,1,80,80,60,0.350000,Adadelta,800,32,2.951483,8.711253,3.555185
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.200000,Adam,800,32,1.744991,3.044994,2.131253
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.200000,Adadelta,800,32,2.734206,7.475880,3.214430
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.250000,Adam,800,32,1.537051,2.362527,1.905343
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.250000,Adadelta,800,32,2.618796,6.858095,3.066920
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.300000,Adam,800,32,1.765621,3.117417,2.155771
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.300000,Adadelta,800,32,2.652991,7.038364,3.107654
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.350000,Adam,800,32,1.578770,2.492513,1.962741
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,150,80,80,0.350000,Adadelta,800,32,2.713819,7.364814,3.186609
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.200000,Adam,800,32,1.960656,3.844170,2.316810
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.200000,Adadelta,800,32,2.785920,7.761352,3.294238
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.250000,Adam,800,32,2.003886,4.015560,2.356101
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.250000,Adadelta,800,32,2.873429,8.256593,3.425791
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.300000,Adam,800,32,1.851236,3.427075,2.235714
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.300000,Adadelta,800,32,2.805668,7.871771,3.322796
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.350000,Adam,800,32,2.318960,5.377575,2.716759
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,120,60,40,0.350000,Adadelta,800,32,2.845150,8.094878,3.383356
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.200000,Adam,800,32,2.191422,4.802329,2.550442
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.200000,Adadelta,800,32,2.732703,7.467664,3.213826
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.250000,Adam,800,32,1.966098,3.865540,2.323495
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.250000,Adadelta,800,32,2.910857,8.473088,3.481510
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.300000,Adam,800,32,1.928883,3.720590,2.290874
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.300000,Adadelta,800,32,2.879850,8.293536,3.431338
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.350000,Adam,800,32,2.427492,5.892718,2.848503
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,2,80,80,60,0.350000,Adadelta,800,32,2.833085,8.026368,3.365899
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,150,80,80,0.200000,Adam,800,32,1.285037,1.651319,1.368128
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,150,80,80,0.200000,Adadelta,800,32,2.776329,7.708005,3.274430
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,150,80,80,0.250000,Adam,800,32,1.315469,1.730458,1.398279
C-4451.08001A,EJA1.A-TC23.F_CV,3,2,3,150,80,80,0.250000,Adadelta,800,32,2.828255,7.999027,3.352900
